iter	Passed	Remaining
686	2428	1106
687	2432	1102
688	2437	1100
689	2440	1096
690	2443	1092
691	2445	1088
692	2447	1084
693	2449	1080
694	2453	1076
695	2456	1072
696	2459	1069
697	2461	1064
698	2464	1061
699	2467	1057
700	2471	1054
701	2473	1049
702	2479	1047
703	2486	1045
704	2489	1041
705	2491	1037
706	2498	1035
707	2502	1031
708	2504	1027
709	2506	1023
710	2509	1019
711	2512	1016
712	2516	1012
713	2518	1008
714	2520	1004
715	2523	1000
716	2528	998
717	2531	994
718	2534	990
719	2537	986
720	2539	982
721	2543	979
722	2547	975
723	2549	971
724	2551	967
725	2554	964
726	2557	960
727	2559	956
728	2562	952
729	2565	948
730	2567	944
731	2572	941
732	2575	938
733	2579	934
734	2581	930
735	2583	926
736	2588	923
737	2592	920
738	2595	916
739	2597	912
740	2599	908
741	2604	905
742	2607	901
743	2610	898
744	2612	894
745	2614	890
746	2619	887
747	2622	883
748	2625	879
749	2628	876
750	2630	872
751	2634	868
752	2636	864
753	2639	861
754	2641	857
755	2644	853
756	2645	849
757	2651	846
758	2654	842
759	2656	838
760	2658	834
761	2660	831
762	2664	827
763	2666	823
764	2668	819
765	2669	815
766	2672	811
767	2674	807
768	2679	805
769	2682	801
770	2686	797
771	2688	794
772	2691	790
773	2693	786
774	2696	782
775	2699	779
776	2702	775
777	2704	771
778	2706	767
779	2712	764
780	2714	761
781	2716	757
782	2718	753
783	2720	749
784	2722	745
785	2733	744
786	2737	740
787	2767	744
788	2769	740
789	2775	737
790	2778	734
791	2780	730
792	2786	727
793	2788	723
794	2794	720
795	2797	716
796	2799	713
797	2802	709
798	2804	705
799	2805	701
800	2809	698
801	2812	694
802	2814	690
803	2817	686
804	2819	683
805	2823	679
806	2826	675
807	2828	672
808	2831	668
809	2833	664
810	2835	660
811	2839	657
812	2841	653
813	2843	649
814	2845	645
815	2849	642
816	2851	638
817	2853	634
818	2855	631
819	2857	627
820	2863	624
821	2867	620
822	2869	617
823	2871	613
824	2873	609
825	2880	606
826	2883	603
827	2886	599
828	2888	595
829	2890	591
830	2895	588
831	2899	585
832	2902	581
833	2905	578
834	2907	574
835	2913	571
836	2915	567
837	2919	564
838	2921	560
839	2923	556
840	2929	553
841	2932	550
842	2935	546
843	2938	543
844	2940	539
845	2946	536
846	2949	532
