iter	Passed	Remaining
537	5083	4365
538	5085	4349
539	5215	4443
540	5218	4427
541	5221	4412
542	5224	4396
543	5225	4380
544	5228	4365
545	5232	4350
546	5234	4334
547	5236	4319
548	5239	4304
549	5241	4288
550	5243	4272
551	5406	4388
552	5409	4372
553	5412	4357
554	5414	4341
555	5418	4326
556	5422	4312
557	5425	4297
558	5428	4282
559	5430	4266
560	5432	4251
561	5435	4235
562	5548	4306
563	5550	4290
564	5554	4276
565	5557	4261
566	5629	4299
567	5632	4283
568	5635	4268
569	5637	4253
570	5640	4237
571	5642	4222
572	5645	4206
573	5646	4190
574	5649	4175
575	5652	4160
576	5655	4146
577	5657	4130
578	5788	4208
579	5795	4196
580	5798	4181
581	5801	4166
582	5805	4152
583	5811	4139
584	5813	4124
585	5816	4109
586	5819	4094
587	5821	4078
588	5974	4168
589	5976	4153
590	5980	4138
591	5982	4123
592	5985	4108
593	5989	4093
594	5992	4078
595	5995	4063
596	6002	4052
597	6005	4037
598	6009	4022
599	6115	4076
600	6117	4061
601	6120	4046
602	6122	4030
603	6130	4019
604	6134	4005
605	6139	3991
606	6142	3976
607	6144	3961
608	6147	3946
609	6149	3931
610	6247	3977
611	6250	3962
612	6252	3947
613	6255	3932
614	6258	3917
615	6263	3904
616	6266	3889
617	6269	3875
618	6272	3860
619	6275	3846
620	6277	3831
621	6366	3868
622	6373	3856
623	6375	3841
624	6378	3826
625	6380	3812
626	6385	3798
627	6387	3783
628	6390	3769
629	6393	3754
630	6397	3741
631	6461	3762
632	6464	3747
633	6467	3733
634	6470	3719
635	6473	3704
636	6478	3691
637	6482	3677
638	6484	3663
639	6488	3649
640	6492	3636
641	6495	3622
642	6574	3650
643	6577	3635
644	6579	3621
645	6582	3606
646	6584	3592
647	6587	3578
648	6590	3564
649	6594	3550
650	6603	3540
651	6606	3525
652	6608	3511
653	6611	3498
654	6614	3483
655	6617	3470
656	6618	3455
657	6626	3443
658	6628	3430
659	6631	3416
660	6634	3402
661	6637	3388
662	6640	3375
663	6642	3361
664	6645	3347
665	6686	3353
666	6689	3339
667	6694	3327
668	6701	3315
669	6704	3301
670	6707	3288
671	6711	3275
672	6713	3262
673	6716	3248
674	6719	3235
675	6722	3221
676	6724	3208
677	6727	3195
678	6730	3181
679	6732	3168
680	6735	3155
681	6738	3142
682	6743	3129
683	6746	3116
684	6749	3103
685	6752	3090
686	6756	3078
687	6895	3126
688	6902	3115
689	6903	3101
690	6908	3089
691	6911	3076
692	6914	3063
693	6917	3049
694	6919	3036
695	6924	3024
696	6927	3011
697	6930	2998
698	7071	3045
699	7074	3031
700	7078	3019
701	7082	3006
702	7086	2994
703	7088	2980
704	7091	2967
705	7093	2954
706	7096	2941
707	7101	2928
708	7105	2916
709	7108	2903
710	7293	2964
711	7296	2951
712	7299	2938
713	7302	2924
714	7304	2911
715	7308	2899
716	7310	2885
717	7313	2872
718	7315	2859
719	7318	2846
720	7321	2833
721	7420	2857
722	7423	2844
723	7425	2830
724	7429	2817
725	7431	2804
726	7434	2791
727	7438	2779
728	7441	2766
729	7444	2753
730	7447	2740
731	7450	2727
732	7452	2714
733	7454	2701
734	7464	2691
735	7467	2678
736	7469	2665
737	7472	2652
738	7474	2639
739	7478	2627
740	7480	2614
741	7483	2602
742	7487	2589
743	7489	2577
744	7636	2613
745	7640	2601
746	7644	2589
747	7647	2576
748	7651	2564
749	7654	2551
750	7658	2539
751	7660	2526
752	7663	2513
753	7665	2500
754	7668	2488
755	7670	2475
756	7677	2464
757	7680	2452
758	7684	2439
759	7688	2427
760	7691	2415
761	7693	2403
762	7696	2390
763	7700	2378
764	7705	2367
765	7859	2400
766	7861	2388
767	7864	2375
768	7870	2364
769	7872	2351
770	7875	2339
771	7877	2326
772	7880	2314
773	7883	2301
774	7886	2289
775	7888	2277
776	8006	2297
777	8008	2285
778	8011	2272
779	8014	2260
780	8017	2248
781	8020	2235
782	8023	2223
783	8026	2211
784	8031	2199
785	8034	2187
786	8038	2175
787	8128	2186
788	8132	2174
789	8136	2162
790	8140	2150
791	8143	2138
792	8145	2126
793	8148	2114
794	8153	2102
795	8155	2090
796	8160	2078
797	8162	2066
798	8164	2053
799	8261	2065
800	8263	2053
801	8266	2040
802	8270	2028
803	8272	2016
804	8275	2004
805	8277	1992
806	8280	1980
807	8282	1968
808	8285	1956
809	8288	1944
810	8370	1950
811	8373	1938
812	8376	1926
813	8379	1914
814	8382	1902
815	8385	1890
816	8389	1879
817	8391	1867
818	8394	1855
819	8396	1843
820	8399	1831
821	8401	1819
822	8404	1807
823	8409	1796
824	8412	1784
825	8414	1772
826	8417	1760
827	8421	1749
828	8424	1737
829	8428	1726
830	8431	1714
831	8473	1711
832	8476	1699
833	8481	1688
834	8484	1676
835	8487	1665
836	8490	1653
837	8492	1641
838	8495	1630
839	8498	1618
840	8501	1607
841	8504	1595
842	8568	1595
843	8571	1584
844	8574	1572
845	8579	1561
846	8582	1550
847	8584	1538
848	8587	1527
849	8589	1515
850	8593	1504
851	8596	1493
852	8598	1481
853	8729	1492
854	8733	1481
855	8736	1469
856	8740	1458
857	8743	1447
858	8746	1435
859	8749	1424
860	8753	1413
861	8756	1401
862	8758	1390
863	8760	1378
864	8905	1389
865	8908	1378
866	8910	1366
867	8913	1355
868	8916	1344
869	8919	1332
870	8922	1321
871	8927	1310
872	8930	1299
873	8933	1287
874	8935	1276
875	9056	1281
876	9059	1270
877	9061	1259
878	9064	1247
879	9066	1236
880	9069	1225
881	9071	1213
882	9074	1202
883	9079	1191
884	9083	1180
885	9086	1169
886	9190	1170
887	9194	1159
888	9197	1148
889	9200	1137
890	9205	1126
891	9209	1115
892	9212	1103
893	9215	1092
894	9219	1081
895	9223	1070
896	9298	1067
897	9301	1056
898	9304	1045
899	9307	1034
900	9310	1023
901	9313	1011
902	9315	1000
903	9319	989
904	9322	978
905	9325	967
906	9329	956
907	9339	946
908	9351	936
909	9355	925
910	9358	914
911	9361	903
912	9364	892
913	9367	881
914	9370	870
915	9373	859
916	9378	848
917	9503	848
918	9506	837
919	9509	826
920	9513	816
921	9516	805
922	9520	794
923	9524	783
924	9527	772
925	9529	761
926	9532	750
927	9534	739
928	9616	734
929	9620	724
930	9623	713
931	9625	702
932	9628	691
933	9631	680
934	9634	669
935	9637	658
936	9639	648
937	9644	637
938	9720	631
939	9722	620
940	9725	609
941	9728	598
942	9733	588
943	9736	577
944	9739	566
945	9742	556
946	9745	545
947	9747	534
948	9750	524
949	9779	514
950	9781	504
951	9784	493
952	9787	482
953	9815	473
954	9818	462
955	9821	452
956	9825	441
957	9828	430
958	9831	420
959	9835	409
960	9938	403
961	9941	392
962	9944	382
963	9946	371
964	9949	360
965	9953	350
966	9956	339
967	9959	329
968	9962	318
969	9965	308
970	9968	297
971	10134	291
972	10138	281
973	10141	270
974	10145	260
975	10148	249
976	10150	238
977	10153	228
978	10156	217
979	10161	207
980	10164	196
981	10167	186
982	10224	176
983	10230	166
984	10233	155
985	10235	145
986	10238	134
987	10241	124
988	10243	113
989	10246	103
990	10249	93
991	10253	82
992	10362	73
993	10366	62
994	10369	52
995	10372	41
996	10374	31
997	10377	20
998	10385	10
999	10388	0
